Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result,Runs_Scored,Runs_Scored_Metric,Hits,Hits_Metric,Doubles,Triples,Home_Runs,Home_Runs_Metric,Extra_Base_Hits,Extra_Base_Hits_Metric,Walks,Strikeouts,Walks_Minus_Strikeouts,Walks_Minus_Strikeouts_Metric
219,2017-06-06,June,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,6,Hits > 3 but <= 9,1,0,3,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,2,8,-6,Strikeouts > Walks
220,2017-06-07,June,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0,0,Runs_Scored <= 1,5,Hits > 3 but <= 9,1,1,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,0,5,-5,Strikeouts > Walks
221,2017-06-08,June,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0,1,Runs_Scored <= 1,4,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,4,12,-8,Strikeouts > Walks
222,2017-06-09,June,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1,5,Runs_Scored = 4 or 5,11,Hits >= 10,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,3,5,-2,Strikeouts > Walks
223,2017-06-10,June,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1,11,Runs_Scored >= 10,13,Hits >= 10,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,9,8,1,Walks > Strikeouts
224,2017-06-11,June,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0,3,Runs_Scored = 2 or 3,12,Hits >= 10,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,6,11,-5,Strikeouts > Walks
225,2017-06-12,June,Monday,Boston Red Sox,Philadelphia Phillies,National League (NL) East,1,6,Runs_Scored > 5 but <= 9,16,Hits >= 10,3,0,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,3,8,-5,Strikeouts > Walks
226,2017-06-13,June,Tuesday,Boston Red Sox,Philadelphia Phillies,National League (NL) East,1,4,Runs_Scored = 4 or 5,14,Hits >= 10,5,0,1,Home_Runs = 1,6,Extra_Base_Hits > 5,4,5,-1,Strikeouts > Walks
227,2017-06-14,June,Wednesday,Boston Red Sox,Philadelphia Phillies,National League (NL) East,1,7,Runs_Scored > 5 but <= 9,13,Hits >= 10,4,0,2,Home_Runs > 1,6,Extra_Base_Hits > 5,3,3,0,Walks = Strikeouts
228,2017-06-15,June,Thursday,Boston Red Sox,Philadelphia Phillies,National League (NL) East,0,0,Runs_Scored <= 1,5,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,3,12,-9,Strikeouts > Walks
229,2017-06-16,June,Friday,Boston Red Sox,Houston Astros,American League (AL) West,1,2,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,0,1,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,2,6,-4,Strikeouts > Walks
230,2017-06-17,June,Saturday,Boston Red Sox,Houston Astros,American League (AL) West,0,1,Runs_Scored <= 1,3,Hits <= 3,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,1,6,-5,Strikeouts > Walks
231,2017-06-18,June,Sunday,Boston Red Sox,Houston Astros,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,8,Hits > 3 but <= 9,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,2,10,-8,Strikeouts > Walks
232,2017-06-19,June,Monday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,2,Runs_Scored = 2 or 3,10,Hits >= 10,0,1,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,1,5,-4,Strikeouts > Walks
233,2017-06-20,June,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) Central,1,8,Runs_Scored > 5 but <= 9,13,Hits >= 10,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
234,2017-06-21,June,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,4,Runs_Scored = 4 or 5,5,Hits > 3 but <= 9,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
235,2017-06-23,June,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1,9,Runs_Scored > 5 but <= 9,10,Hits >= 10,3,0,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,3,6,-3,Strikeouts > Walks
236,2017-06-24,June,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0,3,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,2,11,-9,Strikeouts > Walks
237,2017-06-25,June,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0,2,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,0,0,2,Home_Runs > 1,2,Extra_Base_Hits > 0 but <= 5,0,6,-6,Strikeouts > Walks
238,2017-06-26,June,Monday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,4,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,3,8,-5,Strikeouts > Walks
239,2017-06-27,June,Tuesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,9,Runs_Scored > 5 but <= 9,10,Hits >= 10,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,7,6,1,Walks > Strikeouts
240,2017-06-28,June,Wednesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0,1,Runs_Scored <= 1,7,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
241,2017-06-29,June,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,6,Runs_Scored > 5 but <= 9,10,Hits >= 10,2,1,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,2,4,-2,Strikeouts > Walks
242,2017-06-30,June,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,7,Runs_Scored > 5 but <= 9,13,Hits >= 10,6,0,0,Home_Runs = 0,6,Extra_Base_Hits > 5,14,8,6,Walks > Strikeouts
243,2017-07-01,July,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,7,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,4,8,-4,Strikeouts > Walks
244,2017-07-02,July,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,15,Runs_Scored >= 10,21,Hits >= 10,3,1,3,Home_Runs > 1,7,Extra_Base_Hits > 5,4,9,-5,Strikeouts > Walks
245,2017-07-03,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) West,1,7,Runs_Scored > 5 but <= 9,10,Hits >= 10,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,7,8,-1,Strikeouts > Walks
246,2017-07-04,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) West,1,11,Runs_Scored >= 10,19,Hits >= 10,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
247,2017-07-05,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) West,0,2,Runs_Scored = 2 or 3,3,Hits <= 3,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,3,6,-3,Strikeouts > Walks
248,2017-07-06,July,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,1,Runs_Scored <= 1,6,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,4,6,-2,Strikeouts > Walks
249,2017-07-07,July,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,11,Hits >= 10,1,0,3,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,4,9,-5,Strikeouts > Walks
250,2017-07-08,July,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,0,Runs_Scored <= 1,3,Hits <= 3,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,3,4,-1,Strikeouts > Walks
251,2017-07-09,July,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,3,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,0,0,2,Home_Runs > 1,2,Extra_Base_Hits > 0 but <= 5,4,10,-6,Strikeouts > Walks
252,2017-07-14,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,10,Hits >= 10,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,5,12,-7,Strikeouts > Walks
253,2017-07-15,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0,1,Runs_Scored <= 1,8,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,4,12,-8,Strikeouts > Walks
254,2017-07-16,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0,0,Runs_Scored <= 1,4,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,7,6,1,Walks > Strikeouts
255,2017-07-16,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1,3,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,0,10,-10,Strikeouts > Walks
256,2017-07-17,July,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,3,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
257,2017-07-18,July,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,5,Runs_Scored = 4 or 5,13,Hits >= 10,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,2,15,-13,Strikeouts > Walks
258,2017-07-19,July,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,5,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,5,7,-2,Strikeouts > Walks
259,2017-07-20,July,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,6,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,6,10,-4,Strikeouts > Walks
260,2017-07-21,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,1,8,-7,Strikeouts > Walks
261,2017-07-22,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0,3,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
262,2017-07-23,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0,2,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,1,4,-3,Strikeouts > Walks
263,2017-07-24,July,Monday,Boston Red Sox,Seattle Mariners,American League (AL) West,0,0,Runs_Scored <= 1,4,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,0,12,-12,Strikeouts > Walks
264,2017-07-25,July,Tuesday,Boston Red Sox,Seattle Mariners,American League (AL) West,0,5,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,6,9,-3,Strikeouts > Walks
265,2017-07-26,July,Wednesday,Boston Red Sox,Seattle Mariners,American League (AL) West,1,4,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,1,5,-4,Strikeouts > Walks
266,2017-07-28,July,Friday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,2,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,1,1,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,2,5,-3,Strikeouts > Walks
267,2017-07-29,July,Saturday,Boston Red Sox,Kansas City Royals,American League (AL) Central,1,9,Runs_Scored > 5 but <= 9,13,Hits >= 10,2,1,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,6,8,-2,Strikeouts > Walks
268,2017-07-30,July,Sunday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,3,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,2,7,-5,Strikeouts > Walks
269,2017-07-31,July,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,6,Runs_Scored > 5 but <= 9,13,Hits >= 10,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,5,6,-1,Strikeouts > Walks
270,2017-08-01,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,12,Runs_Scored >= 10,15,Hits >= 10,6,0,2,Home_Runs > 1,8,Extra_Base_Hits > 5,4,7,-3,Strikeouts > Walks
271,2017-08-03,August,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,9,Runs_Scored > 5 but <= 9,15,Hits >= 10,5,0,2,Home_Runs > 1,7,Extra_Base_Hits > 5,4,4,0,Walks = Strikeouts
272,2017-08-04,August,Friday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,3,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,0,0,2,Home_Runs > 1,2,Extra_Base_Hits > 0 but <= 5,0,14,-14,Strikeouts > Walks
273,2017-08-05,August,Saturday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,4,Runs_Scored = 4 or 5,5,Hits > 3 but <= 9,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,2,8,-6,Strikeouts > Walks
274,2017-08-06,August,Sunday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,6,Runs_Scored > 5 but <= 9,8,Hits > 3 but <= 9,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,5,6,-1,Strikeouts > Walks
275,2017-08-08,August,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,2,Runs_Scored = 2 or 3,12,Hits >= 10,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,1,7,-6,Strikeouts > Walks
276,2017-08-09,August,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,4,5,-1,Strikeouts > Walks
277,2017-08-11,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,6,8,-2,Strikeouts > Walks
278,2017-08-12,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1,10,Runs_Scored >= 10,12,Hits >= 10,3,0,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,2,8,-6,Strikeouts > Walks
279,2017-08-13,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1,3,Runs_Scored = 2 or 3,4,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,6,12,-6,Strikeouts > Walks
280,2017-08-14,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0,3,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,2,15,-13,Strikeouts > Walks
281,2017-08-15,August,Tuesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1,10,Runs_Scored >= 10,15,Hits >= 10,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,3,5,-2,Strikeouts > Walks
282,2017-08-16,August,Wednesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1,5,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,6,6,0,Walks = Strikeouts
283,2017-08-18,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1,9,Runs_Scored > 5 but <= 9,10,Hits >= 10,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,6,5,1,Walks > Strikeouts
284,2017-08-19,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0,3,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,2,11,-9,Strikeouts > Walks
285,2017-08-20,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,12,Hits >= 10,3,1,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,5,3,2,Walks > Strikeouts
286,2017-08-21,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0,4,Runs_Scored = 4 or 5,5,Hits > 3 but <= 9,0,0,2,Home_Runs > 1,2,Extra_Base_Hits > 0 but <= 5,6,8,-2,Strikeouts > Walks
287,2017-08-22,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,9,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,1,7,-6,Strikeouts > Walks
288,2017-08-23,August,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,6,Runs_Scored > 5 but <= 9,8,Hits > 3 but <= 9,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,2,14,-12,Strikeouts > Walks
289,2017-08-24,August,Thursday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0,6,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,1,1,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,5,13,-8,Strikeouts > Walks
290,2017-08-25,August,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,3,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,1,3,-2,Strikeouts > Walks
291,2017-08-26,August,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,0,Runs_Scored <= 1,4,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,4,6,-2,Strikeouts > Walks
292,2017-08-27,August,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,1,Runs_Scored <= 1,8,Hits > 3 but <= 9,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,8,8,0,Walks = Strikeouts
293,2017-08-28,August,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,2,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,4,6,-2,Strikeouts > Walks
294,2017-08-29,August,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,3,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,1,8,-7,Strikeouts > Walks
295,2017-08-30,August,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,7,Runs_Scored > 5 but <= 9,10,Hits >= 10,4,0,2,Home_Runs > 1,6,Extra_Base_Hits > 5,6,6,0,Walks = Strikeouts
296,2017-08-31,August,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0,2,Runs_Scored = 2 or 3,4,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,8,8,0,Walks = Strikeouts
297,2017-09-01,September,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1,4,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,0,0,3,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,1,13,-12,Strikeouts > Walks
298,2017-09-02,September,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0,1,Runs_Scored <= 1,6,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,2,7,-5,Strikeouts > Walks
299,2017-09-03,September,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0,2,Runs_Scored = 2 or 3,5,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,2,15,-13,Strikeouts > Walks
300,2017-09-04,September,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,4,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,4,8,-4,Strikeouts > Walks
301,2017-09-05,September,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,3,Runs_Scored = 2 or 3,11,Hits >= 10,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,5,12,-7,Strikeouts > Walks
302,2017-09-06,September,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,1,1,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,5,5,0,Walks = Strikeouts
303,2017-09-08,September,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,9,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,3,10,-7,Strikeouts > Walks
304,2017-09-09,September,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,9,Runs_Scored > 5 but <= 9,15,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,4,11,-7,Strikeouts > Walks
305,2017-09-10,September,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,1,Runs_Scored <= 1,5,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,3,7,-4,Strikeouts > Walks
306,2017-09-12,September,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1,11,Runs_Scored >= 10,16,Hits >= 10,3,1,2,Home_Runs > 1,6,Extra_Base_Hits > 5,1,5,-4,Strikeouts > Walks
307,2017-09-13,September,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,0,3,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,3,5,-2,Strikeouts > Walks
308,2017-09-14,September,Thursday,Boston Red Sox,Oakland Athletics,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,5,0,1,Home_Runs = 1,6,Extra_Base_Hits > 5,1,5,-4,Strikeouts > Walks
309,2017-09-15,September,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,13,Runs_Scored >= 10,21,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,5,13,-8,Strikeouts > Walks
310,2017-09-16,September,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,3,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,1,7,-6,Strikeouts > Walks
311,2017-09-17,September,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,2,Runs_Scored = 2 or 3,3,Hits <= 3,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,2,8,-6,Strikeouts > Walks
312,2017-09-18,September,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,10,Runs_Scored >= 10,12,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,5,10,-5,Strikeouts > Walks
313,2017-09-19,September,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,1,Runs_Scored <= 1,6,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
314,2017-09-20,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,9,Runs_Scored > 5 but <= 9,11,Hits >= 10,3,1,2,Home_Runs > 1,6,Extra_Base_Hits > 5,7,8,-1,Strikeouts > Walks
315,2017-09-22,September,Friday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1,5,Runs_Scored = 4 or 5,6,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,5,-1,Strikeouts > Walks
316,2017-09-23,September,Saturday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1,5,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,8,6,2,Walks > Strikeouts
317,2017-09-24,September,Sunday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1,5,Runs_Scored = 4 or 5,5,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,5,5,0,Walks = Strikeouts
318,2017-09-25,September,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,4,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,3,8,-5,Strikeouts > Walks
319,2017-09-26,September,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,2,1,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,0,12,-12,Strikeouts > Walks
320,2017-09-27,September,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,10,Runs_Scored >= 10,13,Hits >= 10,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,1,7,-6,Strikeouts > Walks
321,2017-09-28,September,Thursday,Boston Red Sox,Houston Astros,American League (AL) West,0,2,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,3,5,-2,Strikeouts > Walks
322,2017-09-29,September,Friday,Boston Red Sox,Houston Astros,American League (AL) West,0,2,Runs_Scored = 2 or 3,5,Hits > 3 but <= 9,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
323,2017-09-30,September,Saturday,Boston Red Sox,Houston Astros,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,10,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,4,12,-8,Strikeouts > Walks
324,2017-10-01,October,Sunday,Boston Red Sox,Houston Astros,American League (AL) West,0,3,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,1,12,-11,Strikeouts > Walks
